Time,Temp(F),Humidity(%),WindSpeed(mph)
2013-12-06 01:00,41.0,30.9 °F,0
2013-12-06 02:00,42.1,33.1 °F,0
2013-12-06 03:00,41.0,33.1 °F,0
2013-12-06 04:00,39.0,32.0 °F,0
2013-12-06 05:00,39.0,30.9 °F,0
2013-12-06 06:00,39.0,32.0 °F,0
2013-12-06 07:00,39.9,33.1 °F,0
2013-12-06 08:00,39.9,33.1 °F,0
2013-12-06 09:00,44.1,35.1 °F,0
2013-12-06 10:00,48.0,35.1 °F,0
2013-12-06 11:00,48.9,34.0 °F,0
2013-12-06 12:00,50.0,34.0 °F,0
2013-12-06 13:00,50.0,35.1 °F,0
2013-12-06 14:00,51.1,33.1 °F,0
2013-12-06 15:00,52.0,36.0 °F,0
2013-12-06 16:00,51.1,36.0 °F,0
2013-12-06 17:00,51.1,37.0 °F,0
2013-12-06 18:00,50.0,39.9 °F,0
2013-12-06 19:00,48.9,43.0 °F,0
2013-12-06 20:00,52.0,44.1 °F,0
2013-12-06 21:00,52.0,44.1 °F,0
2013-12-06 22:00,52.0,45.0 °F,0
2013-12-06 23:00,53.1,46.0 °F,0
2013-12-07 00:00,52.0,48.0 °F,0
2013-12-07 00:00,51.8,48.2 °F,0
2013-12-07 00:00,50.0,46.4 °F,0
2013-12-07 01:00,50.0,48.2 °F,0
2013-12-07 01:00,50.0,46.4 °F,0
2013-12-07 01:00,50.0,46.9 °F,0
2013-12-07 02:00,48.9,37.9 °F,0
2013-12-07 03:00,48.0,35.1 °F,0
2013-12-07 04:00,46.9,35.1 °F,0
2013-12-07 05:00,46.0,30.9 °F,0
2013-12-07 06:00,46.0,30.9 °F,0
2013-12-07 07:00,45.0,30.9 °F,0
2013-12-07 08:00,45.0,30.0 °F,0
2013-12-07 09:00,46.9,30.0 °F,0
2013-12-07 10:00,48.0,28.9 °F,0
2013-12-07 11:00,48.9,28.0 °F,0
2013-12-07 12:00,50.0,24.1 °F,0
2013-12-07 13:00,50.0,28.0 °F,0
2013-12-07 14:00,50.0,26.1 °F,0
2013-12-07 15:00,50.0,26.1 °F,0
2013-12-07 16:00,46.9,25.0 °F,0
2013-12-07 17:00,46.0,25.0 °F,0
