Time,Temp(F),Humidity(%),WindSpeed(mph)
2013-12-11 01:00,42.1,33.1 °F,0
2013-12-11 02:00,41.0,33.1 °F,0
2013-12-11 03:00,39.0,30.9 °F,0
2013-12-11 04:00,39.9,32.0 °F,0
2013-12-11 05:00,39.9,34.0 °F,0
2013-12-11 06:00,39.9,35.1 °F,0
2013-12-11 07:00,39.0,34.0 °F,0
2013-12-11 08:00,41.0,35.1 °F,0
2013-12-11 09:00,45.0,32.0 °F,0
2013-12-11 10:00,46.9,30.0 °F,0
2013-12-11 11:00,48.9,28.9 °F,0
2013-12-11 12:00,52.0,28.9 °F,0
2013-12-11 13:00,54.0,28.9 °F,0
2013-12-11 14:00,53.1,32.0 °F,0
2013-12-11 15:00,55.0,28.0 °F,0
2013-12-11 16:00,54.0,33.1 °F,0
2013-12-11 17:00,52.0,30.9 °F,0
2013-12-11 18:00,53.1,27.0 °F,0
2013-12-11 19:00,52.0,35.1 °F,0
2013-12-11 20:00,50.0,36.0 °F,0
2013-12-11 21:00,46.9,33.1 °F,0
2013-12-11 22:00,46.0,32.0 °F,0
2013-12-11 23:00,46.9,30.9 °F,0
2013-12-12 00:00,43.0,30.9 °F,0
2013-12-12 01:00,42.1,33.1 °F,0
2013-12-12 02:00,41.0,30.9 °F,0
2013-12-12 03:00,39.9,28.9 °F,0
2013-12-12 04:00,39.0,30.0 °F,0
2013-12-12 05:00,39.9,30.9 °F,0
2013-12-12 06:00,41.0,30.0 °F,0
2013-12-12 07:00,39.9,32.0 °F,0
2013-12-12 08:00,39.9,32.0 °F,0
2013-12-12 09:00,46.0,30.9 °F,0
2013-12-12 10:00,48.9,32.0 °F,0
2013-12-12 11:00,51.1,32.0 °F,0
2013-12-12 12:00,52.0,34.0 °F,0
2013-12-12 13:00,54.0,36.0 °F,0
2013-12-12 14:00,53.1,37.9 °F,0
2013-12-12 15:00,54.0,39.0 °F,0
2013-12-12 16:00,53.1,39.0 °F,0
2013-12-12 17:00,53.1,37.9 °F,0
2013-12-12 18:00,52.0,37.9 °F,0
2013-12-12 19:00,51.1,36.0 °F,0
2013-12-12 20:00,50.0,39.0 °F,0
2013-12-12 21:00,48.9,37.9 °F,0
2013-12-12 22:00,50.0,44.1 °F,0
2013-12-12 23:00,48.9,44.1 °F,0
2013-12-13 00:00,48.0,43.0 °F,0
2013-12-13 01:00,46.9,42.1 °F,0
2013-12-13 02:00,48.0,43.0 °F,0
2013-12-13 03:00,43.0,39.0 °F,0
2013-12-13 04:00,45.0,41.0 °F,0
2013-12-13 04:00,42.8,39.2 °F,0
2013-12-13 05:00,43.0,39.0 °F,0
2013-12-13 06:00,42.1,37.9 °F,0
2013-12-13 07:00,43.0,37.9 °F,0
2013-12-13 08:00,43.0,39.0 °F,0
2013-12-13 09:00,46.9,41.0 °F,0
2013-12-13 10:00,48.9,39.9 °F,0
2013-12-13 11:00,48.9,42.1 °F,0
2013-12-13 12:00,50.0,43.0 °F,0
2013-12-13 13:00,51.1,43.0 °F,0
2013-12-13 14:00,52.0,44.1 °F,0
2013-12-13 15:00,52.0,45.0 °F,0
2013-12-13 16:00,52.0,44.1 °F,0
2013-12-13 17:00,51.1,44.1 °F,0
2013-12-13 18:00,52.0,39.0 °F,0
2013-12-13 19:00,51.1,39.9 °F,0
2013-12-13 20:00,48.9,37.9 °F,0
2013-12-13 21:00,48.9,41.0 °F,0
2013-12-13 22:00,48.0,43.0 °F,0
2013-12-13 23:00,48.9,44.1 °F,0
2013-12-14 00:00,46.0,41.0 °F,0
2013-12-14 00:00,44.6,39.2 °F,0
2013-12-14 01:00,45.0,39.0 °F,0
2013-12-14 02:00,44.1,35.1 °F,0
2013-12-14 03:00,42.1,34.0 °F,0
2013-12-14 04:00,41.0,34.0 °F,0
2013-12-14 05:00,39.9,34.0 °F,0
2013-12-14 06:00,39.9,35.1 °F,0
2013-12-14 07:00,43.0,37.9 °F,0
2013-12-14 08:00,42.1,37.9 °F,0
2013-12-14 09:00,48.9,42.1 °F,0
2013-12-14 10:00,48.9,42.1 °F,0
2013-12-14 11:00,52.0,41.0 °F,0
2013-12-14 12:00,55.0,37.0 °F,0
2013-12-14 13:00,55.0,39.0 °F,0
2013-12-14 14:00,57.9,37.0 °F,0
2013-12-14 15:00,60.1,35.1 °F,0
2013-12-14 16:00,60.1,35.1 °F,0
2013-12-14 17:00,60.1,33.1 °F,0
2013-12-14 18:00,53.1,39.0 °F,0
2013-12-14 19:00,51.1,42.1 °F,0
2013-12-14 20:00,50.0,37.0 °F,0
2013-12-14 21:00,50.0,36.0 °F,0
2013-12-14 22:00,50.0,36.0 °F,0
2013-12-14 23:00,48.0,36.0 °F,0
2013-12-15 00:00,46.0,36.0 °F,0
2013-12-15 01:00,45.0,36.0 °F,0
2013-12-15 02:00,44.1,36.0 °F,0
2013-12-15 03:00,44.1,36.0 °F,0
2013-12-15 04:00,43.0,35.1 °F,0
2013-12-15 05:00,43.0,35.1 °F,0
2013-12-15 06:00,41.0,34.0 °F,0
2013-12-15 07:00,42.1,36.0 °F,0
2013-12-15 08:00,42.1,36.0 °F,0
2013-12-15 09:00,46.9,37.9 °F,0
2013-12-15 10:00,50.0,39.0 °F,0
2013-12-15 11:00,54.0,37.0 °F,0
2013-12-15 12:00,57.9,35.1 °F,0
2013-12-15 13:00,55.9,41.0 °F,0
2013-12-15 14:00,57.9,35.1 °F,0
2013-12-15 15:00,57.9,36.0 °F,0
2013-12-15 16:00,57.0,39.0 °F,0
2013-12-15 17:00,55.9,39.0 °F,0
2013-12-15 18:00,55.0,39.0 °F,0
2013-12-15 19:00,53.1,37.0 °F,0
2013-12-15 20:00,53.1,37.9 °F,0
2013-12-15 21:00,52.0,43.0 °F,0
2013-12-15 22:00,52.0,42.1 °F,0
2013-12-15 23:00,50.0,41.0 °F,0
2013-12-16 00:00,51.1,44.1 °F,0
2013-12-16 01:00,51.1,44.1 °F,0
2013-12-16 02:00,46.0,37.9 °F,0
2013-12-16 03:00,45.0,37.9 °F,0
2013-12-16 04:00,44.1,37.0 °F,0
2013-12-16 05:00,44.1,37.0 °F,0
2013-12-16 06:00,45.0,36.0 °F,0
2013-12-16 07:00,46.0,36.0 °F,0
2013-12-16 08:00,46.9,35.1 °F,0
2013-12-16 09:00,53.1,34.0 °F,0
2013-12-16 10:00,57.0,35.1 °F,0
2013-12-16 11:00,59.0,37.0 °F,0
2013-12-16 12:00,63.0,33.1 °F,0
2013-12-16 13:00,64.0,34.0 °F,0
2013-12-16 14:00,59.0,39.9 °F,0
2013-12-16 15:00,59.0,42.1 °F,0
2013-12-16 16:00,57.9,37.0 °F,0
2013-12-16 17:00,60.1,33.1 °F,0
2013-12-16 18:00,57.0,37.0 °F,0
2013-12-16 19:00,55.9,37.0 °F,0
2013-12-16 20:00,54.0,41.0 °F,0
2013-12-16 21:00,54.0,42.1 °F,0
2013-12-16 22:00,55.0,39.9 °F,0
2013-12-16 23:00,51.1,37.9 °F,0
2013-12-17 00:00,50.0,37.9 °F,0
2013-12-17 01:00,48.9,69,0
2013-12-17 02:00,48.9,71,3.5
2013-12-17 03:00,48.0,74,0
2013-12-17 04:00,46.9,77,5.8
2013-12-17 05:00,46.9,77,5.8
2013-12-17 06:00,48.0,77,5.8
2013-12-17 07:00,46.9,77,6.9
