Trip ID,Duration,Start Date,startStationId,endStationId,distance
6753,1292,8/31/13 12:11,70,50,2586
6782,1245,8/31/13 12:29,50,61,1995
6785,1105,8/31/13 12:32,50,61,1995
6804,1329,8/31/13 12:43,70,50,2586
6807,1314,8/31/13 12:44,70,50,2586
6840,1513,8/31/13 13:06,60,60,0
6841,1494,8/31/13 13:07,60,60,0
6872,1964,8/31/13 13:16,50,60,1337
6874,1915,8/31/13 13:17,50,60,1337
6918,414,8/31/13 13:40,69,57,1147
6943,832,8/31/13 13:51,50,60,1337
6942,2223,8/31/13 13:51,50,60,1337
6960,2336,8/31/13 14:03,60,50,1338
7017,1039,8/31/13 14:27,50,61,1995
7018,1054,8/31/13 14:27,50,61,1995
7033,2031,8/31/13 14:39,50,60,1337
7030,2062,8/31/13 14:39,50,60,1337
7063,2178,8/31/13 14:54,74,60,1474
7061,2226,8/31/13 14:54,74,60,1474
7105,576,8/31/13 15:24,73,77,1323
7265,721,8/31/13 17:00,61,50,1995
7270,459,8/31/13 17:03,67,76,1546
7313,2076,8/31/13 17:39,60,50,1338
7320,1146,8/31/13 17:50,50,61,1995
7340,329,8/31/13 18:10,77,64,1161
7344,680,8/31/13 18:11,61,50,1995
7351,463,8/31/13 18:19,60,50,1338
7362,159,8/31/13 18:31,60,60,0
7363,1853,8/31/13 18:31,60,50,1338
7364,1655,8/31/13 18:35,60,50,1338
7372,262,8/31/13 18:42,62,77,703
7374,1655,8/31/13 18:46,60,74,1474
7375,101,8/31/13 18:47,60,60,0
7377,1429,8/31/13 18:49,60,74,1474
7383,1038,8/31/13 18:59,50,60,1337
7403,69,8/31/13 19:58,60,60,0
7411,1211,8/31/13 20:16,70,50,2586
7416,62,8/31/13 20:52,60,60,0
7418,446,8/31/13 20:53,73,77,1323
7417,472,8/31/13 20:53,73,77,1323
7429,659,8/31/13 21:48,50,61,1995
7428,673,8/31/13 21:48,50,61,1995
