tripID,startTime,duration,startStationId,endStationId,mileStoneTimes
4133,8/29/13 10:17,1965,69,39,"['08/29/13 10:17:00', '08/29/13 10:17:30', '08/29/13 10:18:00', '08/29/13 10:18:20', '08/29/13 10:18:50', '08/29/13 10:19:20', '08/29/13 10:19:50', '08/29/13 10:20:10', '08/29/13 10:20:40', '08/29/13 10:21:10', '08/29/13 10:21:40', '08/29/13 10:22:00', '08/29/13 10:22:30', '08/29/13 10:23:00', '08/29/13 10:23:30', '08/29/13 10:24:00', '08/29/13 10:24:20', '08/29/13 10:24:50', '08/29/13 10:25:20', '08/29/13 10:25:50', '08/29/13 10:26:10', '08/29/13 10:26:40', '08/29/13 10:27:10', '08/29/13 10:27:40', '08/29/13 10:28:00', '08/29/13 10:28:30', '08/29/13 10:29:00', '08/29/13 10:29:30', '08/29/13 10:29:50', '08/29/13 10:30:20', '08/29/13 10:30:50', '08/29/13 10:31:20', '08/29/13 10:31:50', '08/29/13 10:32:10', '08/29/13 10:32:40', '08/29/13 10:33:10', '08/29/13 10:33:40', '08/29/13 10:34:00', '08/29/13 10:34:30', '08/29/13 10:35:00', '08/29/13 10:35:30', '08/29/13 10:35:50', '08/29/13 10:36:20', '08/29/13 10:36:50', '08/29/13 10:37:20', '08/29/13 10:37:50', '08/29/13 10:38:10', '08/29/13 10:38:40', '08/29/13 10:39:10', '08/29/13 10:39:40', '08/29/13 10:40:00', '08/29/13 10:40:30', '08/29/13 10:41:00', '08/29/13 10:41:30', '08/29/13 10:41:50', '08/29/13 10:42:20', '08/29/13 10:42:50', '08/29/13 10:43:20', '08/29/13 10:43:50', '08/29/13 10:44:10', '08/29/13 10:44:40', '08/29/13 10:45:10', '08/29/13 10:45:40', '08/29/13 10:46:00', '08/29/13 10:46:30', '08/29/13 10:47:00', '08/29/13 10:47:30', '08/29/13 10:47:50', '08/29/13 10:48:20', '08/29/13 10:48:50', '08/29/13 10:49:20']"
4133,8/29/13 10:17,980,69,39,"['08/29/13 10:17:00', '08/29/13 10:17:10', '08/29/13 10:17:30', '08/29/13 10:17:40', '08/29/13 10:18:00', '08/29/13 10:18:10', '08/29/13 10:18:20', '08/29/13 10:18:40', '08/29/13 10:18:50', '08/29/13 10:19:00', '08/29/13 10:19:20', '08/29/13 10:19:30', '08/29/13 10:19:50', '08/29/13 10:20:00', '08/29/13 10:20:10', '08/29/13 10:20:30', '08/29/13 10:20:40', '08/29/13 10:20:50', '08/29/13 10:21:10', '08/29/13 10:21:20', '08/29/13 10:21:40', '08/29/13 10:21:50', '08/29/13 10:22:00', '08/29/13 10:22:20', '08/29/13 10:22:30', '08/29/13 10:22:50', '08/29/13 10:23:00', '08/29/13 10:23:10', '08/29/13 10:23:30', '08/29/13 10:23:40', '08/29/13 10:23:50', '08/29/13 10:24:10', '08/29/13 10:24:20', '08/29/13 10:24:40', '08/29/13 10:24:50', '08/29/13 10:25:00', '08/29/13 10:25:20', '08/29/13 10:25:30', '08/29/13 10:25:40', '08/29/13 10:26:00', '08/29/13 10:26:10', '08/29/13 10:26:30', '08/29/13 10:26:40', '08/29/13 10:26:50', '08/29/13 10:27:10', '08/29/13 10:27:20', '08/29/13 10:27:30', '08/29/13 10:27:50', '08/29/13 10:28:00', '08/29/13 10:28:20', '08/29/13 10:28:30', '08/29/13 10:28:40', '08/29/13 10:29:00', '08/29/13 10:29:10', '08/29/13 10:29:30', '08/29/13 10:29:40', '08/29/13 10:29:50', '08/29/13 10:30:10', '08/29/13 10:30:20', '08/29/13 10:30:30', '08/29/13 10:30:50', '08/29/13 10:31:00', '08/29/13 10:31:20', '08/29/13 10:31:30', '08/29/13 10:31:40', '08/29/13 10:32:00', '08/29/13 10:32:10', '08/29/13 10:32:20', '08/29/13 10:32:40', '08/29/13 10:32:50', '08/29/13 10:33:10']"
4133,8/29/13 12:37,2465,69,39,"['08/29/13 12:37:00', '08/29/13 12:37:30', '08/29/13 12:38:10', '08/29/13 12:38:40', '08/29/13 12:39:20', '08/29/13 12:39:50', '08/29/13 12:40:30', '08/29/13 12:41:00', '08/29/13 12:41:40', '08/29/13 12:42:10', '08/29/13 12:42:50', '08/29/13 12:43:20', '08/29/13 12:44:00', '08/29/13 12:44:30', '08/29/13 12:45:10', '08/29/13 12:45:40', '08/29/13 12:46:20', '08/29/13 12:46:50', '08/29/13 12:47:20', '08/29/13 12:48:00', '08/29/13 12:48:30', '08/29/13 12:49:10', '08/29/13 12:49:40', '08/29/13 12:50:20', '08/29/13 12:50:50', '08/29/13 12:51:30', '08/29/13 12:52:00', '08/29/13 12:52:40', '08/29/13 12:53:10', '08/29/13 12:53:50', '08/29/13 12:54:20', '08/29/13 12:55:00', '08/29/13 12:55:30', '08/29/13 12:56:10', '08/29/13 12:56:40', '08/29/13 12:57:20', '08/29/13 12:57:50', '08/29/13 12:58:20', '08/29/13 12:59:00', '08/29/13 12:59:30', '08/29/13 13:00:10', '08/29/13 13:00:40', '08/29/13 13:01:20', '08/29/13 13:01:50', '08/29/13 13:02:30', '08/29/13 13:03:00', '08/29/13 13:03:40', '08/29/13 13:04:10', '08/29/13 13:04:50', '08/29/13 13:05:20', '08/29/13 13:06:00', '08/29/13 13:06:30', '08/29/13 13:07:10', '08/29/13 13:07:40', '08/29/13 13:08:10', '08/29/13 13:08:50', '08/29/13 13:09:20', '08/29/13 13:10:00', '08/29/13 13:10:30', '08/29/13 13:11:10', '08/29/13 13:11:40', '08/29/13 13:12:20', '08/29/13 13:12:50', '08/29/13 13:13:30', '08/29/13 13:14:00', '08/29/13 13:14:40', '08/29/13 13:15:10', '08/29/13 13:15:50', '08/29/13 13:16:20', '08/29/13 13:17:00', '08/29/13 13:17:30']"
