,startStationId,endStationId,count
761,65,70,1320
296,50,60,1263
893,69,65,1112
1172,77,64,865
589,60,74,805
733,64,77,795
915,70,50,778
603,61,50,755
1063,74,60,710
297,50,61,708
916,70,51,693
1064,74,61,653
341,51,70,646
567,60,50,646
918,70,55,644
937,70,74,608
306,50,70,594
928,70,65,560
1073,74,70,538
663,62,77,536
412,55,70,529
872,69,39,520
482,57,70,512
835,67,76,511
931,70,68,494
403,55,61,487
1045,73,77,487
885,69,57,484
940,70,77,478
