tripID,startTime,duration,startStationId,endStationId,mileStoneTimes
4496,8/29/13 13:19,375,65,70,"['08/29/13 13:19:00', '08/29/13 13:19:20', '08/29/13 13:19:40', '08/29/13 13:20:00', '08/29/13 13:20:20', '08/29/13 13:20:30', '08/29/13 13:20:50', '08/29/13 13:21:10', '08/29/13 13:21:30', '08/29/13 13:21:50', '08/29/13 13:22:10', '08/29/13 13:22:30', '08/29/13 13:22:50', '08/29/13 13:23:00', '08/29/13 13:23:20', '08/29/13 13:23:40', '08/29/13 13:24:00', '08/29/13 13:24:20', '08/29/13 13:24:40', '08/29/13 13:25:00']"
4497,8/29/13 13:19,954,50,70,"['08/29/13 13:19:00', '08/29/13 13:19:20', '08/29/13 13:19:30', '08/29/13 13:19:50', '08/29/13 13:20:10', '08/29/13 13:20:20', '08/29/13 13:20:40', '08/29/13 13:21:00', '08/29/13 13:21:10', '08/29/13 13:21:30', '08/29/13 13:21:50', '08/29/13 13:22:00', '08/29/13 13:22:20', '08/29/13 13:22:40', '08/29/13 13:22:50', '08/29/13 13:23:10', '08/29/13 13:23:30', '08/29/13 13:23:40', '08/29/13 13:24:00', '08/29/13 13:24:20', '08/29/13 13:24:30', '08/29/13 13:24:50', '08/29/13 13:25:10', '08/29/13 13:25:20', '08/29/13 13:25:40', '08/29/13 13:26:00', '08/29/13 13:26:20', '08/29/13 13:26:30', '08/29/13 13:26:50', '08/29/13 13:27:10', '08/29/13 13:27:20', '08/29/13 13:27:40', '08/29/13 13:28:00', '08/29/13 13:28:10', '08/29/13 13:28:30', '08/29/13 13:28:50', '08/29/13 13:29:00', '08/29/13 13:29:20', '08/29/13 13:29:40', '08/29/13 13:29:50', '08/29/13 13:30:10', '08/29/13 13:30:30', '08/29/13 13:30:40', '08/29/13 13:31:00', '08/29/13 13:31:20', '08/29/13 13:31:30', '08/29/13 13:31:50', '08/29/13 13:32:10', '08/29/13 13:32:20', '08/29/13 13:32:40', '08/29/13 13:33:00', '08/29/13 13:33:10', '08/29/13 13:33:30', '08/29/13 13:33:50', '08/29/13 13:34:00', '08/29/13 13:34:20', '08/29/13 13:34:40']"
4546,8/29/13 13:52,1288,74,60,"['08/29/13 13:52:00', '08/29/13 13:52:40', '08/29/13 13:53:20', '08/29/13 13:53:50', '08/29/13 13:54:30', '08/29/13 13:55:10', '08/29/13 13:55:50', '08/29/13 13:56:30', '08/29/13 13:57:00', '08/29/13 13:57:40', '08/29/13 13:58:20', '08/29/13 13:59:00', '08/29/13 13:59:30', '08/29/13 14:00:10', '08/29/13 14:00:50', '08/29/13 14:01:30', '08/29/13 14:02:10', '08/29/13 14:02:40', '08/29/13 14:03:20', '08/29/13 14:04:00', '08/29/13 14:04:40', '08/29/13 14:05:20', '08/29/13 14:05:50', '08/29/13 14:06:30', '08/29/13 14:07:10', '08/29/13 14:07:50', '08/29/13 14:08:20', '08/29/13 14:09:00', '08/29/13 14:09:40', '08/29/13 14:10:20', '08/29/13 14:11:00', '08/29/13 14:11:30', '08/29/13 14:12:10', '08/29/13 14:12:50']"
4562,8/29/13 14:00,696,50,61,"['08/29/13 14:00:00', '08/29/13 14:00:20', '08/29/13 14:00:30', '08/29/13 14:00:50', '08/29/13 14:01:00', '08/29/13 14:01:20', '08/29/13 14:01:30', '08/29/13 14:01:50', '08/29/13 14:02:00', '08/29/13 14:02:20', '08/29/13 14:02:30', '08/29/13 14:02:50', '08/29/13 14:03:00', '08/29/13 14:03:20', '08/29/13 14:03:30', '08/29/13 14:03:50', '08/29/13 14:04:00', '08/29/13 14:04:20', '08/29/13 14:04:30', '08/29/13 14:04:50', '08/29/13 14:05:00', '08/29/13 14:05:20', '08/29/13 14:05:30', '08/29/13 14:05:50', '08/29/13 14:06:00', '08/29/13 14:06:20', '08/29/13 14:06:30', '08/29/13 14:06:50', '08/29/13 14:07:00', '08/29/13 14:07:20', '08/29/13 14:07:30', '08/29/13 14:07:50', '08/29/13 14:08:00', '08/29/13 14:08:20', '08/29/13 14:08:30', '08/29/13 14:08:50', '08/29/13 14:09:00', '08/29/13 14:09:20', '08/29/13 14:09:30', '08/29/13 14:09:50', '08/29/13 14:10:10', '08/29/13 14:10:20', '08/29/13 14:10:40', '08/29/13 14:10:50', '08/29/13 14:11:10', '08/29/13 14:11:20']"
4586,8/29/13 14:17,748,69,39,"['08/29/13 14:17:00', '08/29/13 14:17:20', '08/29/13 14:17:40', '08/29/13 14:18:00', '08/29/13 14:18:20', '08/29/13 14:18:40', '08/29/13 14:19:00', '08/29/13 14:19:20', '08/29/13 14:19:40', '08/29/13 14:20:00', '08/29/13 14:20:20', '08/29/13 14:20:40', '08/29/13 14:21:00', '08/29/13 14:21:20', '08/29/13 14:21:40', '08/29/13 14:22:00', '08/29/13 14:22:20', '08/29/13 14:22:40', '08/29/13 14:23:00', '08/29/13 14:23:20', '08/29/13 14:23:40', '08/29/13 14:24:00', '08/29/13 14:24:20', '08/29/13 14:24:40', '08/29/13 14:25:10', '08/29/13 14:25:30', '08/29/13 14:25:50', '08/29/13 14:26:10', '08/29/13 14:26:30', '08/29/13 14:26:50', '08/29/13 14:27:10', '08/29/13 14:27:30', '08/29/13 14:27:50', '08/29/13 14:28:10', '08/29/13 14:28:30', '08/29/13 14:28:50', '08/29/13 14:29:10']"
4587,8/29/13 14:21,519,69,39,"['08/29/13 14:21:00', '08/29/13 14:21:10', '08/29/13 14:21:30', '08/29/13 14:21:40', '08/29/13 14:22:00', '08/29/13 14:22:10', '08/29/13 14:22:20', '08/29/13 14:22:40', '08/29/13 14:22:50', '08/29/13 14:23:10', '08/29/13 14:23:20', '08/29/13 14:23:30', '08/29/13 14:23:50', '08/29/13 14:24:00', '08/29/13 14:24:20', '08/29/13 14:24:30', '08/29/13 14:24:40', '08/29/13 14:25:00', '08/29/13 14:25:10', '08/29/13 14:25:30', '08/29/13 14:25:40', '08/29/13 14:25:50', '08/29/13 14:26:10', '08/29/13 14:26:20', '08/29/13 14:26:40', '08/29/13 14:26:50', '08/29/13 14:27:00', '08/29/13 14:27:20', '08/29/13 14:27:30', '08/29/13 14:27:50', '08/29/13 14:28:00', '08/29/13 14:28:10', '08/29/13 14:28:30', '08/29/13 14:28:40', '08/29/13 14:29:00', '08/29/13 14:29:10', '08/29/13 14:29:20']"
4623,8/29/13 15:01,1445,60,74,"['08/29/13 15:01:00', '08/29/13 15:01:50', '08/29/13 15:02:30', '08/29/13 15:03:20', '08/29/13 15:04:10', '08/29/13 15:04:50', '08/29/13 15:05:40', '08/29/13 15:06:30', '08/29/13 15:07:10', '08/29/13 15:08:00', '08/29/13 15:08:50', '08/29/13 15:09:30', '08/29/13 15:10:20', '08/29/13 15:11:10', '08/29/13 15:11:50', '08/29/13 15:12:40', '08/29/13 15:13:30', '08/29/13 15:14:10', '08/29/13 15:15:00', '08/29/13 15:15:50', '08/29/13 15:16:30', '08/29/13 15:17:20', '08/29/13 15:18:10', '08/29/13 15:18:50', '08/29/13 15:19:40', '08/29/13 15:20:30', '08/29/13 15:21:10', '08/29/13 15:22:00', '08/29/13 15:22:50', '08/29/13 15:23:30', '08/29/13 15:24:20']"
4626,8/29/13 15:02,624,70,68,"['08/29/13 15:02:00', '08/29/13 15:02:20', '08/29/13 15:02:40', '08/29/13 15:03:10', '08/29/13 15:03:30', '08/29/13 15:03:50', '08/29/13 15:04:10', '08/29/13 15:04:40', '08/29/13 15:05:00', '08/29/13 15:05:20', '08/29/13 15:05:40', '08/29/13 15:06:10', '08/29/13 15:06:30', '08/29/13 15:06:50', '08/29/13 15:07:10', '08/29/13 15:07:30', '08/29/13 15:08:00', '08/29/13 15:08:20', '08/29/13 15:08:40', '08/29/13 15:09:00', '08/29/13 15:09:30', '08/29/13 15:09:50', '08/29/13 15:10:10', '08/29/13 15:10:30', '08/29/13 15:10:50', '08/29/13 15:11:20', '08/29/13 15:11:40', '08/29/13 15:12:00']"
4628,8/29/13 15:03,611,70,68,"['08/29/13 15:03:00', '08/29/13 15:03:20', '08/29/13 15:03:40', '08/29/13 15:04:10', '08/29/13 15:04:30', '08/29/13 15:04:50', '08/29/13 15:05:10', '08/29/13 15:05:30', '08/29/13 15:05:50', '08/29/13 15:06:20', '08/29/13 15:06:40', '08/29/13 15:07:00', '08/29/13 15:07:20', '08/29/13 15:07:40', '08/29/13 15:08:10', '08/29/13 15:08:30', '08/29/13 15:08:50', '08/29/13 15:09:10', '08/29/13 15:09:30', '08/29/13 15:09:50', '08/29/13 15:10:20', '08/29/13 15:10:40', '08/29/13 15:11:00', '08/29/13 15:11:20', '08/29/13 15:11:40', '08/29/13 15:12:10', '08/29/13 15:12:30', '08/29/13 15:12:50']"
4635,8/29/13 15:09,999,60,74,"['08/29/13 15:09:00', '08/29/13 15:09:30', '08/29/13 15:10:00', '08/29/13 15:10:40', '08/29/13 15:11:10', '08/29/13 15:11:40', '08/29/13 15:12:10', '08/29/13 15:12:50', '08/29/13 15:13:20', '08/29/13 15:13:50', '08/29/13 15:14:20', '08/29/13 15:14:50', '08/29/13 15:15:30', '08/29/13 15:16:00', '08/29/13 15:16:30', '08/29/13 15:17:00', '08/29/13 15:17:40', '08/29/13 15:18:10', '08/29/13 15:18:40', '08/29/13 15:19:10', '08/29/13 15:19:40', '08/29/13 15:20:20', '08/29/13 15:20:50', '08/29/13 15:21:20', '08/29/13 15:21:50', '08/29/13 15:22:30', '08/29/13 15:23:00', '08/29/13 15:23:30', '08/29/13 15:24:00', '08/29/13 15:24:30', '08/29/13 15:25:10']"
