startStationId,endStationId,totalDistance,milestoneCount,mileStoneLats,mileStoneLngs
70,51,2322,48,"[37.7767147, '37.7770044834', '37.7772942667', '37.7775840501', '37.7778738334', '37.7781636168', '37.7784534001', '37.7787431835', '37.7790329668', '37.7793227502', '37.7796125335', '37.7799023169', '37.7801921002', '37.7804818836', '37.7807716669', '37.7810614503', '37.7813512336', '37.781641017', '37.7822160848', '37.7826346695', '37.7830532543', '37.783471839', '37.7838904238', '37.7843090086', '37.7847275933', '37.7851461781', '37.7855647628', '37.7859833476', '37.7864019323', '37.7868205171', '37.7872391019', '37.7876576866', '37.7880762714', '37.7884948561', '37.7889134409', '37.7893320257', '37.7897506104', '37.7901691952', '37.7905877799', '37.7910063647', '37.7914249495', '37.7918435342', '37.792262119', '37.7926807037', '37.7919284583', '37.7914949167', '37.7913384968', 37.7914669]","[-122.3951274, '-122.394728797', '-122.394330194', '-122.39393159', '-122.393532987', '-122.393134384', '-122.392735781', '-122.392337178', '-122.391938574', '-122.391539971', '-122.391141368', '-122.390742765', '-122.390344162', '-122.389945558', '-122.389546955', '-122.389148352', '-122.388749749', '-122.388351146', '-122.388246211', '-122.388356522', '-122.388466833', '-122.388577144', '-122.388687455', '-122.388797766', '-122.388908077', '-122.389018388', '-122.389128699', '-122.38923901', '-122.389349321', '-122.389459633', '-122.389569944', '-122.389680255', '-122.389790566', '-122.389900877', '-122.390011188', '-122.390121499', '-122.39023181', '-122.390342121', '-122.390452432', '-122.390562743', '-122.390673054', '-122.390783365', '-122.390893676', '-122.391003987', '-122.391069447', '-122.390904794', '-122.390891552', -122.3910297]"
74,61,2106,44,"[37.7941805, '37.7938599595', '37.7935394189', '37.7935506623', '37.7938696245', '37.7941885868', '37.793512598', '37.793117296', '37.792721994', '37.7923266921', '37.7919313901', '37.7915360881', '37.7911407861', '37.7907454841', '37.7903501821', '37.7899548802', '37.7895595782', '37.7891642762', '37.7887689742', '37.7883736722', '37.7879783702', '37.7875830682', '37.7871877663', '37.7867924643', '37.7863971623', '37.7860018603', '37.7856065583', '37.7852112563', '37.7848159544', '37.7843165758', '37.7838702516', '37.7834239274', '37.7829776032', '37.782531279', '37.7820849548', '37.7816386306', '37.7811923064', '37.7807459822', '37.7805182838', '37.7801834676', '37.7798486515', '37.780261269', '37.7805801381', 37.7804781]","[-122.3943779, '-122.393981549', '-122.393585197', '-122.392807247', '-122.392409794', '-122.392012342', '-122.392165439', '-122.391968778', '-122.391772117', '-122.391575456', '-122.391378795', '-122.391182135', '-122.390985474', '-122.390788813', '-122.390592152', '-122.390395491', '-122.39019883', '-122.390002169', '-122.389805508', '-122.389608847', '-122.389412186', '-122.389215525', '-122.389018864', '-122.388822204', '-122.388625543', '-122.388428882', '-122.388232221', '-122.38803556', '-122.387838899', '-122.388253695', '-122.388305191', '-122.388356686', '-122.388408182', '-122.388459677', '-122.388511173', '-122.388562668', '-122.388614163', '-122.388665659', '-122.389029513', '-122.389405726', '-122.38978194', '-122.390076183', '-122.390475767', -122.3903479]"
51,70,2031,42,"[37.7914669, '37.7909918371', '37.7905761742', '37.7901605113', '37.7897448484', '37.7893291854', '37.7889135225', '37.7884978596', '37.7880821967', '37.7876665338', '37.7872508709', '37.786835208', '37.7864195451', '37.7860038821', '37.7855882192', '37.7851725563', '37.7847568934', '37.7843412305', '37.7839255676', '37.7835099047', '37.7830942418', '37.7826785789', '37.7822629159', '37.781847253', '37.7815151111', '37.7812162222', '37.7809173333', '37.7806184444', '37.7803195556', '37.7800206667', '37.7797217778', '37.7794228889', '37.779124', '37.7788251111', '37.7785262222', '37.7782273333', '37.7779284444', '37.7776295556', '37.7773306667', '37.7770317778', '37.7767328889', 37.7768644]","[-122.3910297, '-122.390722578', '-122.390618856', '-122.390515134', '-122.390411413', '-122.390307691', '-122.390203969', '-122.390100247', '-122.389996525', '-122.389892803', '-122.389789082', '-122.38968536', '-122.389581638', '-122.389477916', '-122.389374194', '-122.389270472', '-122.389166751', '-122.389063029', '-122.388959307', '-122.388855585', '-122.388751863', '-122.388648141', '-122.38854442', '-122.388440698', '-122.388847346', '-122.389262291', '-122.389677237', '-122.390092183', '-122.390507128', '-122.390922074', '-122.39133702', '-122.391751965', '-122.392166911', '-122.392581857', '-122.392996802', '-122.393411748', '-122.393826693', '-122.394241639', '-122.394656585', '-122.39507153', '-122.395486476', -122.3953039]"
60,50,1426,30,"[37.8048372, '37.8044958552', '37.8041545103', '37.8038131655', '37.8034718207', '37.8031304759', '37.8031849', '37.8027651194', '37.8023977389', '37.8020303583', '37.8016629778', '37.8012955972', '37.8009282166', '37.8005608361', '37.8001934555', '37.799826075', '37.7994586944', '37.7990913138', '37.7987239333', '37.7983086123', '37.7979447247', '37.797580837', '37.7972169493', '37.7968530617', '37.796489174', '37.7961252863', '37.7957613987', '37.795397511', '37.7950384', 37.795276]","[-122.4031564, '-122.4027904', '-122.4024244', '-122.4020584', '-122.4016924', '-122.4013264', '-122.400756457', '-122.400473279', '-122.400145759', '-122.399818238', '-122.399490718', '-122.399163197', '-122.398835676', '-122.398508156', '-122.398180635', '-122.397853115', '-122.397525594', '-122.397198073', '-122.396870553', '-122.396490361', '-122.396156022', '-122.395821682', '-122.395487343', '-122.395153004', '-122.394818665', '-122.394484326', '-122.394149986', '-122.393815647', '-122.394191757', -122.3939017]"
70,55,2612,54,"[37.7767147, '37.7770044834', '37.7772942667', '37.7775840501', '37.7778738334', '37.7781636168', '37.7784534001', '37.7787431835', '37.7790329668', '37.7793227502', '37.7796125335', '37.7799023169', '37.7801921002', '37.7804818836', '37.7807716669', '37.7810614503', '37.7813512336', '37.781641017', '37.7822160848', '37.7826346695', '37.7830532543', '37.783471839', '37.7838904238', '37.7843090086', '37.7847275933', '37.7851461781', '37.7855647628', '37.7859833476', '37.7864019323', '37.7868205171', '37.7872391019', '37.7876576866', '37.7880762714', '37.7884948561', '37.7889134409', '37.7893320257', '37.7897506104', '37.7901691952', '37.7905877799', '37.7910063647', '37.7914249495', '37.7918435342', '37.792262119', '37.7926807037', '37.7922447695', '37.791926039', '37.7916073085', '37.791288578', '37.7909698474', '37.7906511169', '37.7903323864', '37.7900136559', '37.7896949254', 37.7897013]","[-122.3951274, '-122.394728797', '-122.394330194', '-122.39393159', '-122.393532987', '-122.393134384', '-122.392735781', '-122.392337178', '-122.391938574', '-122.391539971', '-122.391141368', '-122.390742765', '-122.390344162', '-122.389945558', '-122.389546955', '-122.389148352', '-122.388749749', '-122.388351146', '-122.388246211', '-122.388356522', '-122.388466833', '-122.388577144', '-122.388687455', '-122.388797766', '-122.388908077', '-122.389018388', '-122.389128699', '-122.38923901', '-122.389349321', '-122.389459633', '-122.389569944', '-122.389680255', '-122.389790566', '-122.389900877', '-122.390011188', '-122.390121499', '-122.39023181', '-122.390342121', '-122.390452432', '-122.390562743', '-122.390673054', '-122.390783365', '-122.390893676', '-122.391003987', '-122.391374069', '-122.391775038', '-122.392176006', '-122.392576975', '-122.392977944', '-122.393378913', '-122.393779882', '-122.394180851', '-122.394581819', -122.3945738]"
70,74,2627,54,"[37.7767147, '37.7770044834', '37.7772942667', '37.7775840501', '37.7778738334', '37.7781636168', '37.7784534001', '37.7787431835', '37.7790329668', '37.7793227502', '37.7796125335', '37.7799023169', '37.7801921002', '37.7804818836', '37.7807716669', '37.7810614503', '37.7813512336', '37.781641017', '37.7822466176', '37.7826957353', '37.7831448529', '37.7835939706', '37.7838700914', '37.7842712828', '37.7846724742', '37.7850736656', '37.785474857', '37.7858760483', '37.7862772397', '37.7866784311', '37.7870796225', '37.7874808139', '37.7878820053', '37.7882831967', '37.7886843881', '37.7890855795', '37.7894867709', '37.7898879623', '37.7902891537', '37.790690345', '37.7910915364', '37.7914927278', '37.7918939192', '37.7922951106', '37.792696302', '37.7930974934', '37.7934986848', '37.7938998762', '37.7935889377', '37.7932699755', '37.7935522405', '37.7938727811', '37.7941933216', 37.7941805]","[-122.3951274, '-122.394728797', '-122.394330194', '-122.39393159', '-122.393532987', '-122.393134384', '-122.392735781', '-122.392337178', '-122.391938574', '-122.391539971', '-122.391141368', '-122.390742765', '-122.390344162', '-122.389945558', '-122.389546955', '-122.389148352', '-122.388749749', '-122.388351146', '-122.388100044', '-122.388064189', '-122.388028333', '-122.387992478', '-122.388086584', '-122.388257468', '-122.388428352', '-122.388599236', '-122.38877012', '-122.388941004', '-122.389111888', '-122.389282771', '-122.389453655', '-122.389624539', '-122.389795423', '-122.389966307', '-122.390137191', '-122.390308075', '-122.390478959', '-122.390649843', '-122.390820727', '-122.390991611', '-122.391162495', '-122.391333379', '-122.391504263', '-122.391675147', '-122.391846031', '-122.392016914', '-122.392187798', '-122.392358682', '-122.392759553', '-122.393157006', '-122.393601051', '-122.393997403', '-122.394393754', -122.3943779]"
50,70,2770,57,"[37.7954657, '37.7958316211', '37.7957110268', '37.7953232536', '37.7949354803', '37.7945477071', '37.7941599339', '37.7937721607', '37.7933843874', '37.7929966142', '37.792608841', '37.7922210678', '37.7918332945', '37.7914455213', '37.7910577481', '37.7906699749', '37.7902822016', '37.7898944284', '37.7895066552', '37.789118882', '37.7887311087', '37.7883433355', '37.7879555623', '37.7875677891', '37.7871800158', '37.7867922426', '37.7864044694', '37.7860166962', '37.785628923', '37.7852411497', '37.7848533765', '37.7844656033', '37.7843147389', '37.7838665778', '37.7834184167', '37.7829702556', '37.7825220945', '37.7820739334', '37.7816257723', '37.7815151111', '37.7812162222', '37.7809173333', '37.7806184444', '37.7803195556', '37.7800206667', '37.7797217778', '37.7794228889', '37.779124', '37.7788251111', '37.7785262222', '37.7782273333', '37.7779284444', '37.7776295556', '37.7773306667', '37.7770317778', '37.7765389652', 37.7767147]","[-122.3940762, '-122.394412582', '-122.394224837', '-122.393997774', '-122.393770711', '-122.393543649', '-122.393316586', '-122.393089523', '-122.39286246', '-122.392635397', '-122.392408334', '-122.392181272', '-122.391954209', '-122.391727146', '-122.391500083', '-122.39127302', '-122.391045957', '-122.390818895', '-122.390591832', '-122.390364769', '-122.390137706', '-122.389910643', '-122.38968358', '-122.389456517', '-122.389229455', '-122.389002392', '-122.388775329', '-122.388548266', '-122.388321203', '-122.38809414', '-122.387867078', '-122.387640015', '-122.388237185', '-122.38827217', '-122.388307154', '-122.388342139', '-122.388377124', '-122.388412109', '-122.388447094', '-122.388847346', '-122.389262291', '-122.389677237', '-122.390092183', '-122.390507128', '-122.390922074', '-122.39133702', '-122.391751965', '-122.392166911', '-122.392581857', '-122.392996802', '-122.393411748', '-122.393826693', '-122.394241639', '-122.394656585', '-122.39507153', '-122.394920204', -122.3951274]"
70,65,940,20,"[37.7767147, '37.7764111362', '37.7761075723', '37.7758040085', '37.7755004447', '37.7751968809', '37.774893317', '37.7745897532', '37.7742861894', '37.7739826255', '37.7736790617', '37.7733754979', '37.773071934', '37.7727683702', '37.7724648064', '37.7721612426', '37.7718576787', '37.7715541149', '37.7712505511', 37.7710077]","[-122.3951274, '-122.39552774', '-122.395928081', '-122.396328421', '-122.396728762', '-122.397129102', '-122.397529443', '-122.397929783', '-122.398330123', '-122.398730464', '-122.399130804', '-122.399531145', '-122.399931485', '-122.400331826', '-122.400732166', '-122.401132506', '-122.401532847', '-122.401933187', '-122.402333528', -122.4026538]"
74,70,2628,54,"[37.7941805, '37.7938599595', '37.7935394189', '37.7935506623', '37.7938696245', '37.7941885868', '37.793512598', '37.793117296', '37.792721994', '37.7923266921', '37.7919313901', '37.7915360881', '37.7911407861', '37.7907454841', '37.7903501821', '37.7899548802', '37.7895595782', '37.7891642762', '37.7887689742', '37.7883736722', '37.7879783702', '37.7875830682', '37.7871877663', '37.7867924643', '37.7863971623', '37.7860018603', '37.7856065583', '37.7852112563', '37.7848159544', '37.7843147389', '37.7838665778', '37.7834184167', '37.7829702556', '37.7825220945', '37.7820739334', '37.7816257723', '37.7815151111', '37.7812162222', '37.7809173333', '37.7806184444', '37.7803195556', '37.7800206667', '37.7797217778', '37.7794228889', '37.779124', '37.7788251111', '37.7785262222', '37.7782273333', '37.7779284444', '37.7776295556', '37.7773306667', '37.7770317778', '37.7767328889', 37.7768644]","[-122.3943779, '-122.393981549', '-122.393585197', '-122.392807247', '-122.392409794', '-122.392012342', '-122.392165439', '-122.391968778', '-122.391772117', '-122.391575456', '-122.391378795', '-122.391182135', '-122.390985474', '-122.390788813', '-122.390592152', '-122.390395491', '-122.39019883', '-122.390002169', '-122.389805508', '-122.389608847', '-122.389412186', '-122.389215525', '-122.389018864', '-122.388822204', '-122.388625543', '-122.388428882', '-122.388232221', '-122.38803556', '-122.387838899', '-122.388237185', '-122.38827217', '-122.388307154', '-122.388342139', '-122.388377124', '-122.388412109', '-122.388447094', '-122.388847346', '-122.389262291', '-122.389677237', '-122.390092183', '-122.390507128', '-122.390922074', '-122.39133702', '-122.391751965', '-122.392166911', '-122.392581857', '-122.392996802', '-122.393411748', '-122.393826693', '-122.394241639', '-122.394656585', '-122.39507153', '-122.395486476', -122.3953039]"
62,77,703,16,"[37.7852358, '37.78555233', '37.7858688599', '37.7861853899', '37.7865019199', '37.7868184498', '37.7871349798', '37.7874515098', '37.7877680397', '37.7880845697', '37.7884010997', '37.7887176297', '37.7890341596', '37.7895719362', '37.7898944725', 37.7896945]","[-122.3963332, '-122.396736812', '-122.397140424', '-122.397544036', '-122.397947648', '-122.39835126', '-122.398754872', '-122.399158484', '-122.399562096', '-122.399965708', '-122.40036932', '-122.400772932', '-122.401176544', '-122.401052449', '-122.400653899', -122.400901]"
