,0
"(71, 64)",1779
"(46, 59)",2841
"(30, 32)",2484
"(59, 45)",2789
"(42, 47)",1376
"(62, 42)",2077
"(67, 61)",3366
"(74, 41)",962
"(50, 46)",1035
"(71, 57)",1204
"(75, 58)",2382
"(46, 66)",4146
"(67, 42)",3339
"(62, 66)",2961
"(23, 24)",748
"(62, 45)",1684
"(49, 72)",3407
"(64, 70)",874
"(65, 72)",1525
"(50, 41)",991
"(56, 70)",2412
"(14, 3)",1906
"(71, 54)",2751
"(75, 51)",985
"(21, 83)",1822
"(83, 83)",0
"(46, 69)",3977
"(68, 82)",3293
"(51, 58)",3373
"(62, 69)",1400
"(47, 46)",766
"(65, 64)",1769
"(55, 62)",701
"(59, 59)",0
"(64, 46)",2427
"(49, 65)",2707
"(8, 16)",869
"(65, 65)",0
"(11, 13)",656
"(63, 69)",1667
"(71, 47)",460
"(46, 76)",1843
"(47, 70)",2197
"(2, 14)",513
"(5, 3)",604
"(62, 76)",1672
"(47, 55)",1158
"(55, 55)",0
"(59, 48)",3925
"(50, 72)",2572
"(74, 66)",3878
"(38, 36)",646
"(11, 2)",1729
"(68, 49)",1772
"(14, 13)",1546
"(39, 63)",1272
"(68, 64)",1480
"(2, 9)",3202
"(5, 12)",1464
"(47, 60)",2642
"(30, 28)",1167
"(59, 73)",3089
"(64, 60)",3397
"(50, 67)",3132
"(74, 77)",805
"(75, 73)",1429
"(63, 45)",1465
"(68, 56)",1245
"(72, 59)",688
"(69, 71)",2084
"(56, 68)",1172
"(76, 63)",881
"(56, 51)",765
"(64, 51)",1714
"(60, 39)",3105
"(8, 5)",1095
"(63, 42)",1627
"(68, 39)",1159
"(39, 45)",1600
"(48, 59)",3584
"(69, 64)",937
"(56, 75)",229
"(76, 54)",2530
"(56, 58)",2611
"(59, 71)",1645
"(28, 32)",1440
"(75, 71)",988
"(60, 62)",2952
"(8, 12)",505
"(65, 45)",4548
"(68, 46)",2354
"(72, 41)",2795
"(54, 73)",3142
"(39, 42)",2069
"(48, 50)",724
"(12, 8)",473
"(69, 73)",4118
"(56, 82)",1350
"(76, 45)",1209
"(60, 70)",3972
"(6, 14)",1120
"(39, 82)",2672
"(33, 29)",1409
"(54, 64)",808
"(80, 16)",4411
"(48, 41)",1077
"(12, 7)",761
"(69, 50)",2642
"(73, 55)",2352
"(27, 31)",2799
"(31, 27)",2952
"(57, 47)",1100
"(39, 75)",1167
"(65, 63)",2499
"(63, 66)",2743
"(36, 37)",3299
"(41, 54)",1726
"(69, 59)",2762
"(73, 56)",1580
"(41, 71)",1426
"(66, 73)",3443
"(77, 60)",2347
"(82, 73)",608
"(57, 48)",3067
"(21, 26)",960
"(65, 48)",4401
"(48, 72)",2987
"(54, 82)",2529
"(41, 63)",1826
"(80, 14)",2919
"(9, 6)",2237
"(48, 39)",2421
"(41, 72)",2171
"(42, 70)",3433
"(45, 59)",3021
"(66, 64)",3349
"(67, 82)",3942
"(3, 4)",881
"(82, 64)",2805
"(45, 76)",1467
"(57, 57)",0
"(7, 16)",1109
"(33, 32)",2981
"(72, 69)",2771
"(80, 5)",3622
"(61, 61)",0
"(69, 45)",3717
"(73, 42)",995
"(42, 65)",4327
"(49, 49)",0
"(13, 11)",874
"(3, 13)",1750
"(77, 46)",1266
"(82, 59)",3757
"(45, 69)",3582
"(57, 66)",1916
"(7, 9)",2030
"(48, 70)",3271
"(72, 76)",1410
"(73, 66)",4430
"(41, 41)",0
"(61, 54)",1076
"(83, 25)",1348
"(51, 64)",1393
"(76, 72)",985
"(42, 72)",2571
"(45, 45)",0
"(66, 82)",4214
"(49, 42)",1657
"(13, 4)",1376
"(70, 63)",1604
"(74, 50)",190
"(77, 39)",926
"(82, 50)",896
"(57, 75)",1497
"(7, 6)",1007
"(46, 39)",2234
"(73, 75)",1498
"(54, 39)",3444
"(58, 42)",3571
"(26, 83)",1351
"(66, 58)",586
"(51, 73)",2054
"(37, 38)",3923
"(76, 71)",969
"(42, 51)",1247
"(62, 54)",1330
"(67, 73)",3171
"(70, 54)",1667
"(74, 61)",2106
"(55, 77)",918
"(82, 45)",1078
"(70, 65)",940
"(71, 77)",756
"(57, 76)",749
"(58, 66)",1106
"(46, 46)",0
"(16, 13)",1729
"(73, 76)",2186
"(54, 62)",1270
"(2, 80)",3443
"(22, 23)",712
"(61, 72)",2809
"(77, 72)",1492
"(42, 58)",3220
"(62, 57)",1105
"(10, 3)",1063
"(70, 41)",3606
"(55, 74)",906
"(50, 61)",2248
"(71, 74)",1561
"(58, 77)",2428
"(46, 49)",2206
"(16, 4)",2128
"(54, 49)",660
"(58, 60)",4918
"(61, 65)",1534
"(34, 37)",846
"(77, 65)",3359
"(10, 10)",0
"(67, 55)",3221
"(74, 47)",1102
"(55, 67)",2891
"(64, 73)",3418
"(71, 67)",1934
"(4, 8)",1199
"(46, 56)",1287
"(51, 47)",1528
"(30, 33)",3511
"(67, 60)",4543
"(64, 64)",0
"(50, 47)",1376
"(71, 56)",1226
"(75, 61)",2706
"(46, 67)",3361
"(5, 16)",2188
"(62, 67)",3190
"(63, 63)",0
"(39, 76)",419
"(64, 71)",2342
"(63, 49)",1293
"(14, 10)",1434
"(71, 49)",2073
"(75, 50)",654
"(46, 74)",1352
"(51, 61)",1509
"(62, 74)",1509
"(47, 41)",1079
"(55, 57)",1320
"(59, 58)",316
"(64, 47)",1891
"(49, 64)",1175
"(49, 41)",2090
"(38, 34)",3535
"(63, 62)",267
"(11, 12)",423
"(14, 11)",1801
"(71, 46)",1183
"(26, 22)",1231
"(46, 77)",1308
"(47, 65)",3092
"(5, 2)",1136
"(62, 77)",703
"(47, 54)",2290
"(55, 54)",1088
"(59, 51)",3341
"(50, 73)",1441
"(74, 67)",2858
"(38, 37)",3911
"(63, 39)",1844
"(11, 5)",923
"(68, 50)",2437
"(71, 39)",807
"(39, 62)",1490
"(68, 65)",2147
"(2, 6)",1391
"(5, 11)",1115
"(47, 63)",641
"(30, 29)",4926
"(56, 45)",838
"(59, 72)",694
"(64, 61)",283
"(50, 64)",2132
"(35, 35)",0
"(74, 74)",0
"(75, 72)",1733
"(60, 41)",1185
"(65, 82)",4336
"(68, 57)",534
"(72, 60)",4263
"(39, 55)",1789
"(26, 24)",668
"(68, 72)",1492
"(69, 70)",109
"(56, 69)",2475
"(76, 56)",1005
"(59, 65)",2213
"(49, 39)",2841
"(75, 65)",4122
"(8, 6)",1216
"(48, 60)",1046
"(56, 76)",1005
"(76, 55)",1398
"(56, 59)",2559
"(59, 70)",2820
"(60, 72)",3671
"(28, 33)",2553
"(67, 71)",2235
"(75, 70)",3228
"(60, 63)",2685
"(8, 13)",1257
"(63, 82)",2230
"(68, 47)",1633
"(33, 27)",2518
"(72, 42)",3060
"(48, 51)",1259
"(12, 9)",2647
"(69, 72)",2108
"(76, 46)",1099
"(3, 16)",1234
"(60, 71)",2926
"(31, 29)",911
"(21, 23)",1169
"(60, 54)",2498
"(24, 26)",668
"(33, 28)",2553
"(65, 61)",1534
"(54, 65)",2340
"(48, 42)",407
"(69, 49)",2239
"(73, 54)",2599
"(27, 30)",1869
"(6, 6)",0
"(57, 46)",1821
"(39, 74)",1731
"(63, 64)",724
"(48, 82)",380
"(36, 38)",646
"(80, 8)",3928
"(61, 42)",2582
"(69, 58)",2814
"(73, 63)",2786
"(41, 70)",3200
"(66, 70)",2866
"(77, 59)",2089
"(82, 70)",3443
"(45, 82)",703
"(57, 55)",1702
"(39, 67)",1127
"(65, 55)",3506
"(48, 73)",993
"(41, 62)",2093
"(9, 5)",2586
"(66, 46)",3033
"(65, 73)",4949
"(42, 71)",1826
"(45, 58)",3073
"(66, 65)",1926
"(49, 63)",960
"(3, 7)",519
"(82, 65)",4337
"(45, 75)",779
"(14, 80)",2930
"(57, 56)",1726
"(48, 64)",2633
"(72, 70)",2880
"(54, 42)",2260
"(41, 39)",1605
"(80, 6)",3491
"(61, 60)",3443
"(9, 14)",2865
"(66, 41)",3347
"(73, 41)",1038
"(76, 82)",2281
"(24, 24)",0
"(45, 51)",1397
"(49, 48)",1991
"(13, 10)",645
"(3, 12)",543
"(77, 45)",981
"(82, 56)",949
"(45, 68)",1247
"(28, 28)",0
"(57, 65)",1673
"(7, 8)",506
"(48, 71)",2242
"(16, 16)",0
"(72, 77)",1917
"(73, 65)",4968
"(54, 45)",2741
"(22, 26)",1254
"(83, 24)",1357
"(51, 67)",3284
"(76, 73)",1509
"(42, 73)",977
"(67, 67)",0
"(13, 3)",1742
"(70, 60)",4034
"(74, 51)",422
"(82, 51)",1431
"(28, 27)",1038
"(57, 74)",2062
"(73, 74)",1595
"(66, 59)",902
"(51, 72)",2722
"(37, 37)",0
"(76, 64)",1558
"(42, 48)",694
"(62, 55)",699
"(67, 72)",622
"(70, 55)",2612
"(39, 66)",2309
"(74, 58)",2946
"(55, 76)",1373
"(82, 42)",364
"(70, 70)",0
"(71, 76)",622
"(58, 67)",263
"(46, 47)",1318
