,0
"(12, 13)",1344
"(69, 76)",1895
"(76, 50)",1430
"(56, 62)",1094
"(60, 75)",1938
"(6, 11)",1047
"(60, 58)",4320
"(68, 42)",3002
"(72, 45)",2591
"(54, 77)",2518
"(48, 54)",1796
"(12, 4)",1743
"(73, 50)",1527
"(76, 41)",1413
"(60, 66)",5427
"(6, 2)",1428
"(31, 30)",4673
"(57, 42)",2399
"(60, 49)",2265
"(65, 58)",2231
"(54, 68)",2010
"(41, 49)",1371
"(61, 46)",3059
"(48, 45)",1125
"(12, 3)",543
"(69, 62)",1400
"(73, 59)",3125
"(41, 66)",4568
"(66, 74)",3274
"(77, 63)",859
"(6, 5)",891
"(82, 74)",963
"(57, 51)",2146
"(39, 71)",1360
"(63, 77)",484
"(41, 58)",2820
"(80, 11)",3106
"(61, 39)",2809
"(69, 39)",1772
"(73, 60)",1309
"(41, 75)",696
"(45, 62)",1323
"(66, 69)",2757
"(49, 59)",4004
"(3, 3)",0
"(77, 56)",470
"(82, 69)",3506
"(63, 74)",1290
"(48, 76)",2030
"(11, 80)",3309
"(72, 66)",1788
"(80, 2)",3389
"(9, 10)",1513
"(66, 45)",3143
"(41, 76)",1214
"(42, 66)",4713
"(45, 55)",1711
"(49, 60)",2518
"(13, 14)",1997
"(3, 8)",365
"(77, 49)",1317
"(82, 60)",927
"(45, 72)",2424
"(57, 61)",1847
"(7, 12)",385
"(48, 67)",3548
"(72, 73)",2891
"(54, 41)",2693
"(61, 57)",1851
"(69, 41)",3669
"(73, 46)",752
"(76, 77)",535
"(42, 77)",1079
"(45, 48)",1216
"(67, 64)",3077
"(13, 7)",1359
"(70, 56)",2510
"(74, 55)",702
"(77, 42)",1143
"(82, 55)",1721
"(45, 65)",4413
"(28, 31)",3843
"(70, 75)",2281
"(57, 70)",1256
"(4, 16)",2128
"(7, 5)",886
"(12, 80)",3997
"(73, 70)",4074
"(58, 47)",2271
"(41, 45)",776
"(22, 25)",1047
"(61, 50)",1988
"(66, 63)",3061
"(51, 68)",1223
"(76, 68)",1024
"(77, 82)",1746
"(62, 51)",1143
"(45, 41)",319
"(49, 46)",2134
"(70, 51)",2322
"(74, 62)",1403
"(82, 46)",1074
"(70, 66)",2885
"(58, 71)",1965
"(63, 54)",1431
"(7, 2)",1692
"(16, 10)",1618
"(54, 59)",4607
"(58, 54)",3860
"(61, 75)",1690
"(66, 54)",4124
"(51, 77)",1362
"(37, 34)",846
"(76, 67)",1546
"(77, 75)",241
"(42, 63)",1971
"(62, 58)",2769
"(10, 4)",1204
"(67, 77)",2196
"(70, 42)",3173
"(74, 57)",2022
"(55, 73)",2334
"(82, 41)",455
"(50, 62)",1750
"(70, 69)",109
"(71, 73)",1783
"(4, 6)",429
"(46, 50)",1346
"(54, 50)",1198
"(58, 49)",3377
"(61, 68)",1310
"(62, 82)",2368
"(66, 49)",3641
"(51, 82)",1441
"(34, 38)",3411
"(77, 68)",1205
"(62, 61)",746
"(67, 50)",4034
"(70, 45)",3654
"(55, 70)",2534
"(25, 23)",740
"(50, 57)",2369
"(71, 70)",1924
"(58, 73)",3431
"(4, 13)",937
"(51, 42)",1150
"(58, 56)",2898
"(55, 46)",1441
"(67, 59)",586
"(25, 24)",644
"(64, 77)",1161
"(50, 48)",894
"(71, 63)",1102
"(75, 56)",229
"(46, 60)",1421
"(29, 28)",3930
"(51, 51)",0
"(9, 80)",1490
"(47, 39)",920
"(55, 39)",1764
"(8, 2)",1901
"(62, 47)",1433
"(49, 74)",1111
"(74, 82)",1040
"(64, 68)",1021
"(65, 74)",3521
"(75, 49)",1076
"(46, 71)",1150
"(51, 56)",1063
"(62, 71)",1884
"(55, 60)",2313
"(59, 57)",1565
"(23, 23)",0
"(49, 67)",3968
"(65, 67)",1938
"(11, 11)",0
"(14, 4)",609
"(71, 45)",1293
"(75, 54)",1754
"(47, 68)",784
"(5, 5)",0
"(10, 80)",3236
"(59, 62)",2665
"(67, 46)",2761
"(50, 74)",374
"(74, 68)",1481
"(38, 38)",0
"(64, 82)",2805
"(65, 68)",2236
"(68, 55)",1624
"(72, 50)",2812
"(71, 42)",1895
"(67, 39)",1818
"(39, 61)",2236
"(47, 77)",295
"(68, 70)",1254
"(2, 11)",1691
"(5, 14)",1281
"(67, 68)",2525
"(47, 50)",1190
"(30, 30)",0
"(65, 70)",940
"(56, 42)",747
"(55, 50)",865
"(59, 55)",2978
"(24, 83)",1401
"(64, 58)",3226
"(50, 69)",2833
"(60, 46)",1804
"(42, 64)",2795
"(68, 62)",1023
"(65, 57)",1673
"(72, 57)",1226
"(39, 58)",1215
"(47, 74)",1100
"(68, 77)",775
"(56, 66)",3569
"(2, 2)",0
"(76, 61)",1846
"(47, 59)",2083
"(56, 49)",852
"(59, 76)",1608
"(64, 49)",1304
"(75, 76)",776
"(8, 3)",386
"(39, 51)",2152
"(48, 57)",2869
"(69, 66)",2777
"(56, 73)",1480
"(56, 56)",0
"(59, 69)",2711
"(60, 77)",2179
"(32, 33)",2761
"(75, 69)",3291
"(60, 60)",0
"(8, 10)",1146
"(65, 47)",2772
"(72, 39)",1037
"(54, 75)",2277
"(48, 48)",0
"(12, 14)",2363
"(69, 75)",2344
"(76, 51)",1761
"(56, 63)",827
"(60, 68)",3031
"(6, 8)",1439
"(60, 59)",4268
"(33, 31)",1183
"(72, 46)",2481
"(54, 66)",4285
"(48, 55)",1549
"(12, 5)",1611
"(73, 49)",2366
"(76, 42)",1678
"(27, 29)",3623
"(60, 67)",4232
"(6, 3)",958
"(57, 41)",2135
"(39, 73)",1900
"(60, 50)",1426
"(63, 71)",1665
"(54, 69)",1509
"(41, 48)",1240
"(61, 45)",3063
"(48, 46)",1121
"(69, 61)",702
"(73, 58)",3399
"(41, 65)",4094
"(66, 75)",2709
"(77, 62)",1127
"(8, 80)",3910
"(82, 75)",1427
