Trip ID,Duration,Start Date
4434,384,8/29/2013 12:55
4439,540,8/29/2013 12:55
4442,474,8/29/2013 12:56
4443,245,8/29/2013 12:56
4444,777,8/29/2013 12:57
4445,441,8/29/2013 12:58
4447,363,8/29/2013 13:00
4446,678,8/29/2013 13:00
4449,926,8/29/2013 13:01
4450,298,8/29/2013 13:01
4448,324,8/29/2013 13:01
4451,834,8/29/2013 13:02
4452,1494,8/29/2013 13:02
4453,949,8/29/2013 13:04
4455,431,8/29/2013 13:05
4458,405,8/29/2013 13:05
4454,340,8/29/2013 13:05
4457,1301,8/29/2013 13:05
4466,711,8/29/2013 13:06
4462,646,8/29/2013 13:07
4461,1314,8/29/2013 13:07
4459,215,8/29/2013 13:08
4460,693,8/29/2013 13:08
4464,425,8/29/2013 13:09
4467,225,8/29/2013 13:11
4465,419,8/29/2013 13:11
4477,1578,8/29/2013 13:14
4478,567,8/29/2013 13:15
4486,460,8/29/2013 13:16
4485,1040,8/29/2013 13:16
4484,1127,8/29/2013 13:16
4479,1161,8/29/2013 13:16
4483,475,8/29/2013 13:16
4487,1136,8/29/2013 13:17
4491,1015,8/29/2013 13:18
4496,375,8/29/2013 13:19
4494,913,8/29/2013 13:19
4497,954,8/29/2013 13:19
4493,1914,8/29/2013 13:19
4495,1901,8/29/2013 13:19
4498,126,8/29/2013 13:23
4499,638,8/29/2013 13:25
4500,109,8/29/2013 13:25
4501,1963,8/29/2013 13:27
4502,210,8/29/2013 13:28
4504,262,8/29/2013 13:29
4503,728,8/29/2013 13:29
4505,97713,8/29/2013 13:30
4506,1206,8/29/2013 13:31
4507,850,8/29/2013 13:31
4509,1111,8/29/2013 13:31
4510,166,8/29/2013 13:31
4511,1088,8/29/2013 13:32
4512,1024,8/29/2013 13:32
4514,1224,8/29/2013 13:33
4515,1211,8/29/2013 13:33
4517,379,8/29/2013 13:34
4518,497,8/29/2013 13:35
4519,763,8/29/2013 13:36
4521,85385,8/29/2013 13:37
4522,702,8/29/2013 13:37
4523,844,8/29/2013 13:38
4526,814,8/29/2013 13:39
4527,376,8/29/2013 13:39
4524,579,8/29/2013 13:39
4528,12280,8/29/2013 13:39
4525,650,8/29/2013 13:39
4529,425,8/29/2013 13:40
4531,601,8/29/2013 13:41
4534,1439,8/29/2013 13:43
4532,84990,8/29/2013 13:43
4533,165,8/29/2013 13:43
4536,462,8/29/2013 13:44
4537,624,8/29/2013 13:45
4538,668,8/29/2013 13:45
4541,817,8/29/2013 13:49
4542,416,8/29/2013 13:49
4544,852,8/29/2013 13:49
4545,752,8/29/2013 13:50
4543,650,8/29/2013 13:50
4546,1288,8/29/2013 13:52
4549,125,8/29/2013 13:52
4547,1580,8/29/2013 13:52
4550,163,8/29/2013 13:53
4551,1817,8/29/2013 13:54
4552,688,8/29/2013 13:54
4555,1077,8/29/2013 13:55
4556,693,8/29/2013 13:56
4557,130,8/29/2013 13:57
4558,298,8/29/2013 13:57
4559,242,8/29/2013 13:58
4560,237,8/29/2013 13:58
4561,563,8/29/2013 13:58
4562,696,8/29/2013 14:00
4563,111,8/29/2013 14:02
4564,1693,8/29/2013 14:04
4567,1684,8/29/2013 14:04
4565,7148,8/29/2013 14:04
4566,1699,8/29/2013 14:04
4570,351,8/29/2013 14:06
4568,1013,8/29/2013 14:06
4569,987,8/29/2013 14:06
4572,4331,8/29/2013 14:07
4571,421,8/29/2013 14:07
4573,882,8/29/2013 14:09
4575,2096,8/29/2013 14:12
4577,4524,8/29/2013 14:13
4578,4521,8/29/2013 14:13
4576,63,8/29/2013 14:13
4581,591,8/29/2013 14:14
4580,1081,8/29/2013 14:14
4582,335,8/29/2013 14:14
4583,1536,8/29/2013 14:15
4584,262,8/29/2013 14:17
4586,748,8/29/2013 14:17
4585,968,8/29/2013 14:17
4587,519,8/29/2013 14:21
4588,1751,8/29/2013 14:24
4589,1723,8/29/2013 14:25
4592,239,8/29/2013 14:30
4591,832,8/29/2013 14:30
4593,867,8/29/2013 14:30
4597,1541,8/29/2013 14:31
4599,265,8/29/2013 14:31
4595,288,8/29/2013 14:31
4598,1512,8/29/2013 14:31
4601,953,8/29/2013 14:33
4600,291,8/29/2013 14:33
4602,323,8/29/2013 14:34
4603,6095,8/29/2013 14:35
4605,486,8/29/2013 14:36
4606,191,8/29/2013 14:38
4607,70,8/29/2013 14:42
4610,607,8/29/2013 14:44
4612,376,8/29/2013 14:46
4611,1462,8/29/2013 14:46
4614,863,8/29/2013 14:52
4615,332,8/29/2013 14:55
4616,412,8/29/2013 14:56
4617,939,8/29/2013 14:57
4619,1201,8/29/2013 14:58
4620,865,8/29/2013 14:58
4618,919,8/29/2013 14:58
4621,4536,8/29/2013 15:00
4622,4499,8/29/2013 15:00
4624,697,8/29/2013 15:01
4623,1445,8/29/2013 15:01
4627,515,8/29/2013 15:02
4626,624,8/29/2013 15:02
4625,175,8/29/2013 15:02
4629,1065,8/29/2013 15:03
4628,611,8/29/2013 15:03
4632,530,8/29/2013 15:08
4633,963,8/29/2013 15:09
4634,5075,8/29/2013 15:09
4635,999,8/29/2013 15:09
4636,186,8/29/2013 15:11
4638,211,8/29/2013 15:17
4637,11272,8/29/2013 15:17
4639,11118,8/29/2013 15:18
4640,335,8/29/2013 15:19
4641,420,8/29/2013 15:19
4644,698,8/29/2013 15:20
4643,710,8/29/2013 15:20
4642,710,8/29/2013 15:20
4645,850,8/29/2013 15:20
4648,679,8/29/2013 15:26
4651,684,8/29/2013 15:26
4650,1716,8/29/2013 15:26
4647,340,8/29/2013 15:26
4649,676,8/29/2013 15:26
4646,2542,8/29/2013 15:26
4652,753,8/29/2013 15:28
4654,882,8/29/2013 15:28
4655,413,8/29/2013 15:29
4653,1349,8/29/2013 15:29
4656,1306,8/29/2013 15:29
4657,298,8/29/2013 15:30
4658,1152,8/29/2013 15:31
4660,355,8/29/2013 15:32
4659,371,8/29/2013 15:32
4662,1279,8/29/2013 15:33
4661,563,8/29/2013 15:33
4663,52698,8/29/2013 15:34
4664,1157,8/29/2013 15:35
4666,475,8/29/2013 15:36
4665,972,8/29/2013 15:36
4668,243,8/29/2013 15:39
4667,244,8/29/2013 15:39
4670,759,8/29/2013 15:40
4669,5983,8/29/2013 15:40
4671,797,8/29/2013 15:44
4672,1251,8/29/2013 15:44
4674,671,8/29/2013 15:48
4673,239,8/29/2013 15:48
4676,684,8/29/2013 15:49
4679,440,8/29/2013 15:54
4678,491,8/29/2013 15:54
4681,819,8/29/2013 15:55
4682,1129,8/29/2013 15:55
4680,1176,8/29/2013 15:55
4683,960,8/29/2013 15:57
4685,826,8/29/2013 15:58
4684,640,8/29/2013 15:58
4686,273,8/29/2013 15:59
4688,1047,8/29/2013 16:00
4687,967,8/29/2013 16:00
4691,553,8/29/2013 16:01
4689,436,8/29/2013 16:01
4690,918,8/29/2013 16:01
4692,1150,8/29/2013 16:02
4693,1177,8/29/2013 16:03
4694,3362,8/29/2013 16:04
4695,369,8/29/2013 16:05
4699,380,8/29/2013 16:12
4700,369,8/29/2013 16:12
4702,804,8/29/2013 16:14
4701,828,8/29/2013 16:14
4703,778,8/29/2013 16:15
4705,193,8/29/2013 16:15
4704,204,8/29/2013 16:15
4706,606,8/29/2013 16:16
4707,1138,8/29/2013 16:16
4708,1137,8/29/2013 16:16
4709,4116,8/29/2013 16:17
4710,508,8/29/2013 16:17
4711,522,8/29/2013 16:17
4713,878,8/29/2013 16:20
4712,1142,8/29/2013 16:20
4714,240,8/29/2013 16:21
4715,337,8/29/2013 16:23
4716,375,8/29/2013 16:24
4717,2136,8/29/2013 16:24
4718,1946,8/29/2013 16:25
4721,184,8/29/2013 16:27
4720,188,8/29/2013 16:27
4722,327,8/29/2013 16:32
4723,654,8/29/2013 16:33
4725,388,8/29/2013 16:34
4724,637,8/29/2013 16:34
4727,1126,8/29/2013 16:35
4726,1140,8/29/2013 16:35
4731,378,8/29/2013 16:36
4728,612,8/29/2013 16:36
4729,608,8/29/2013 16:36
4730,362,8/29/2013 16:37
4733,1072,8/29/2013 16:40
4735,1247,8/29/2013 16:41
4734,905,8/29/2013 16:41
4736,812,8/29/2013 16:42
4737,897,8/29/2013 16:43
4739,809,8/29/2013 16:44
4740,976,8/29/2013 16:45
4741,412,8/29/2013 16:45
4742,914,8/29/2013 16:47
4743,267,8/29/2013 16:51
4744,319,8/29/2013 16:52
4745,360,8/29/2013 16:52
4746,1024,8/29/2013 16:53
4747,1140,8/29/2013 16:55
4748,240,8/29/2013 16:56
4749,138,8/29/2013 16:57
4750,342,8/29/2013 16:57
4751,406,8/29/2013 16:57
4752,799,8/29/2013 16:58
4753,1830,8/29/2013 16:59
4758,4801,8/29/2013 17:00
4756,845,8/29/2013 17:00
4757,981,8/29/2013 17:00
4755,1808,8/29/2013 17:00
4760,113,8/29/2013 17:01
4761,462,8/29/2013 17:01
4759,1339,8/29/2013 17:01
4762,551,8/29/2013 17:03
4764,931,8/29/2013 17:04
4767,1101,8/29/2013 17:05
4765,228,8/29/2013 17:05
4766,315,8/29/2013 17:05
4769,1424,8/29/2013 17:06
4772,612,8/29/2013 17:07
4771,956,8/29/2013 17:07
4774,852,8/29/2013 17:08
4775,1046,8/29/2013 17:08
