Trip ID,Duration,Start Date,End Date,Day
4990,579,8/29/2013 19:48,8/29/2013 19:58,3
4928,582,8/29/2013 18:55,8/29/2013 19:05,3
4777,585,8/29/2013 17:09,8/29/2013 17:18,3
4836,585,8/29/2013 17:46,8/29/2013 17:55,3
4356,587,8/29/2013 12:18,8/29/2013 12:28,3
5086,587,8/29/2013 22:06,8/29/2013 22:16,3
4929,590,8/29/2013 18:55,8/29/2013 19:05,3
4581,591,8/29/2013 14:14,8/29/2013 14:24,3
4835,598,8/29/2013 17:45,8/29/2013 17:55,3
4531,601,8/29/2013 13:41,8/29/2013 13:51,3
4912,601,8/29/2013 18:39,8/29/2013 18:49,3
4706,606,8/29/2013 16:16,8/29/2013 16:26,3
4366,607,8/29/2013 12:24,8/29/2013 12:34,3
4398,607,8/29/2013 12:37,8/29/2013 12:47,3
4610,607,8/29/2013 14:44,8/29/2013 14:54,3
5017,607,8/29/2013 20:13,8/29/2013 20:24,3
4729,608,8/29/2013 16:36,8/29/2013 16:46,3
4379,610,8/29/2013 12:29,8/29/2013 12:39,3
4336,611,8/29/2013 12:12,8/29/2013 12:22,3
4628,611,8/29/2013 15:03,8/29/2013 15:13,3
4881,611,8/29/2013 18:11,8/29/2013 18:21,3
4728,612,8/29/2013 16:36,8/29/2013 16:46,3
4772,612,8/29/2013 17:07,8/29/2013 17:17,3
4864,614,8/29/2013 18:02,8/29/2013 18:13,3
4918,615,8/29/2013 18:46,8/29/2013 18:57,3
4410,620,8/29/2013 12:42,8/29/2013 12:53,3
4795,621,8/29/2013 17:22,8/29/2013 17:32,3
5008,623,8/29/2013 20:12,8/29/2013 20:22,3
4537,624,8/29/2013 13:45,8/29/2013 13:55,3
4626,624,8/29/2013 15:02,8/29/2013 15:13,3
4782,626,8/29/2013 17:12,8/29/2013 17:23,3
4428,627,8/29/2013 12:53,8/29/2013 13:04,3
4256,629,8/29/2013 11:32,8/29/2013 11:43,3
4868,633,8/29/2013 18:04,8/29/2013 18:15,3
4360,637,8/29/2013 12:21,8/29/2013 12:32,3
4724,637,8/29/2013 16:34,8/29/2013 16:44,3
4499,638,8/29/2013 13:25,8/29/2013 13:36,3
4889,638,8/29/2013 18:18,8/29/2013 18:29,3
4684,640,8/29/2013 15:58,8/29/2013 16:08,3
4814,641,8/29/2013 17:32,8/29/2013 17:43,3
4848,642,8/29/2013 17:53,8/29/2013 18:04,3
4937,642,8/29/2013 18:59,8/29/2013 19:10,3
5087,643,8/29/2013 22:07,8/29/2013 22:18,3
4885,644,8/29/2013 18:14,8/29/2013 18:25,3
5005,645,8/29/2013 20:06,8/29/2013 20:17,3
4462,646,8/29/2013 13:07,8/29/2013 13:18,3
4525,650,8/29/2013 13:39,8/29/2013 13:50,3
4543,650,8/29/2013 13:50,8/29/2013 14:00,3
4723,654,8/29/2013 16:33,8/29/2013 16:44,3
4285,657,8/29/2013 11:56,8/29/2013 12:07,3
4413,659,8/29/2013 12:43,8/29/2013 12:54,3
5104,661,8/29/2013 23:00,8/29/2013 23:11,3
4987,662,8/29/2013 19:45,8/29/2013 19:56,3
4806,663,8/29/2013 17:27,8/29/2013 17:38,3
5031,664,8/29/2013 20:32,8/29/2013 20:44,3
5101,666,8/29/2013 22:51,8/29/2013 23:02,3
4538,668,8/29/2013 13:45,8/29/2013 13:56,3
4674,671,8/29/2013 15:48,8/29/2013 15:59,3
5106,672,8/29/2013 23:16,8/29/2013 23:27,3
4349,674,8/29/2013 12:15,8/29/2013 12:26,3
4649,676,8/29/2013 15:26,8/29/2013 15:38,3
4797,677,8/29/2013 17:22,8/29/2013 17:33,3
4446,678,8/29/2013 13:00,8/29/2013 13:11,3
4648,679,8/29/2013 15:26,8/29/2013 15:38,3
4878,679,8/29/2013 18:09,8/29/2013 18:21,3
5059,679,8/29/2013 21:14,8/29/2013 21:26,3
4651,684,8/29/2013 15:26,8/29/2013 15:38,3
4676,684,8/29/2013 15:49,8/29/2013 16:01,3
5020,684,8/29/2013 20:22,8/29/2013 20:34,3
4887,685,8/29/2013 18:15,8/29/2013 18:26,3
4406,687,8/29/2013 12:41,8/29/2013 12:53,3
4136,688,8/29/2013 10:20,8/29/2013 10:31,3
4552,688,8/29/2013 13:54,8/29/2013 14:06,3
4407,690,8/29/2013 12:41,8/29/2013 12:53,3
5009,690,8/29/2013 20:12,8/29/2013 20:23,3
5043,691,8/29/2013 20:46,8/29/2013 20:58,3
4460,693,8/29/2013 13:08,8/29/2013 13:20,3
4556,693,8/29/2013 13:56,8/29/2013 14:08,3
5108,694,8/29/2013 23:57,8/30/2013 0:09,3
4562,696,8/29/2013 14:00,8/29/2013 14:12,3
4624,697,8/29/2013 15:01,8/29/2013 15:13,3
4644,698,8/29/2013 15:20,8/29/2013 15:32,3
4350,701,8/29/2013 12:16,8/29/2013 12:27,3
4403,702,8/29/2013 12:40,8/29/2013 12:52,3
4522,702,8/29/2013 13:37,8/29/2013 13:49,3
4874,704,8/29/2013 18:07,8/29/2013 18:19,3
5058,704,8/29/2013 21:14,8/29/2013 21:26,3
4642,710,8/29/2013 15:20,8/29/2013 15:32,3
4643,710,8/29/2013 15:20,8/29/2013 15:32,3
4466,711,8/29/2013 13:06,8/29/2013 13:18,3
4243,720,8/29/2013 11:26,8/29/2013 11:38,3
4346,724,8/29/2013 12:14,8/29/2013 12:26,3
4872,726,8/29/2013 18:06,8/29/2013 18:19,3
5054,727,8/29/2013 21:05,8/29/2013 21:17,3
4503,728,8/29/2013 13:29,8/29/2013 13:41,3
4823,733,8/29/2013 17:37,8/29/2013 17:50,3
4979,747,8/29/2013 19:40,8/29/2013 19:52,3
4586,748,8/29/2013 14:17,8/29/2013 14:30,3
4425,752,8/29/2013 12:51,8/29/2013 13:04,3
4545,752,8/29/2013 13:50,8/29/2013 14:02,3
4652,753,8/29/2013 15:28,8/29/2013 15:40,3
5083,755,8/29/2013 22:05,8/29/2013 22:18,3
4842,756,8/29/2013 17:48,8/29/2013 18:01,3
5045,757,8/29/2013 20:51,8/29/2013 21:03,3
4277,759,8/29/2013 11:50,8/29/2013 12:03,3
4670,759,8/29/2013 15:40,8/29/2013 15:53,3
4288,760,8/29/2013 11:57,8/29/2013 12:10,3
4519,763,8/29/2013 13:36,8/29/2013 13:48,3
4080,764,8/29/2013 9:36,8/29/2013 9:49,3
4803,764,8/29/2013 17:24,8/29/2013 17:37,3
4339,765,8/29/2013 12:12,8/29/2013 12:25,3
4340,767,8/29/2013 12:13,8/29/2013 12:26,3
4404,768,8/29/2013 12:40,8/29/2013 12:53,3
4973,768,8/29/2013 19:38,8/29/2013 19:51,3
4832,776,8/29/2013 17:44,8/29/2013 17:57,3
4444,777,8/29/2013 12:57,8/29/2013 13:10,3
4703,778,8/29/2013 16:15,8/29/2013 16:28,3
4838,778,8/29/2013 17:46,8/29/2013 17:59,3
4851,783,8/29/2013 17:55,8/29/2013 18:08,3
4358,784,8/29/2013 12:20,8/29/2013 12:33,3
4877,792,8/29/2013 18:09,8/29/2013 18:23,3
4671,797,8/29/2013 15:44,8/29/2013 15:57,3
4945,797,8/29/2013 19:08,8/29/2013 19:21,3
4752,799,8/29/2013 16:58,8/29/2013 17:11,3
4899,802,8/29/2013 18:24,8/29/2013 18:37,3
4702,804,8/29/2013 16:14,8/29/2013 16:27,3
4739,809,8/29/2013 16:44,8/29/2013 16:58,3
5079,809,8/29/2013 22:01,8/29/2013 22:14,3
4736,812,8/29/2013 16:42,8/29/2013 16:56,3
5012,812,8/29/2013 20:13,8/29/2013 20:26,3
4820,813,8/29/2013 17:35,8/29/2013 17:48,3
4873,813,8/29/2013 18:07,8/29/2013 18:20,3
4526,814,8/29/2013 13:39,8/29/2013 13:53,3
4939,816,8/29/2013 19:01,8/29/2013 19:14,3
4541,817,8/29/2013 13:49,8/29/2013 14:03,3
5030,818,8/29/2013 20:29,8/29/2013 20:43,3
4681,819,8/29/2013 15:55,8/29/2013 16:09,3
4390,825,8/29/2013 12:33,8/29/2013 12:47,3
4685,826,8/29/2013 15:58,8/29/2013 16:12,3
4931,826,8/29/2013 18:56,8/29/2013 19:10,3
4946,827,8/29/2013 19:07,8/29/2013 19:21,3
4701,828,8/29/2013 16:14,8/29/2013 16:27,3
4591,832,8/29/2013 14:30,8/29/2013 14:43,3
4451,834,8/29/2013 13:02,8/29/2013 13:16,3
5011,834,8/29/2013 20:13,8/29/2013 20:26,3
4972,837,8/29/2013 19:38,8/29/2013 19:52,3
4938,840,8/29/2013 19:01,8/29/2013 19:15,3
4997,841,8/29/2013 19:57,8/29/2013 20:11,3
4523,844,8/29/2013 13:38,8/29/2013 13:53,3
4857,844,8/29/2013 17:58,8/29/2013 18:12,3
4756,845,8/29/2013 17:00,8/29/2013 17:14,3
4858,845,8/29/2013 17:58,8/29/2013 18:12,3
4853,849,8/29/2013 17:55,8/29/2013 18:09,3
4507,850,8/29/2013 13:31,8/29/2013 13:45,3
4645,850,8/29/2013 15:20,8/29/2013 15:35,3
4544,852,8/29/2013 13:49,8/29/2013 14:03,3
4774,852,8/29/2013 17:08,8/29/2013 17:22,3
4975,852,8/29/2013 19:39,8/29/2013 19:53,3
4380,853,8/29/2013 12:29,8/29/2013 12:44,3
4964,853,8/29/2013 19:32,8/29/2013 19:46,3
5026,857,8/29/2013 20:27,8/29/2013 20:42,3
4614,863,8/29/2013 14:52,8/29/2013 15:06,3
4620,865,8/29/2013 14:58,8/29/2013 15:13,3
4593,867,8/29/2013 14:30,8/29/2013 14:44,3
4846,867,8/29/2013 17:51,8/29/2013 18:05,3
4869,870,8/29/2013 18:06,8/29/2013 18:21,3
4391,873,8/29/2013 12:33,8/29/2013 12:48,3
4352,874,8/29/2013 12:16,8/29/2013 12:31,3
4974,877,8/29/2013 19:38,8/29/2013 19:53,3
4713,878,8/29/2013 16:20,8/29/2013 16:35,3
4804,878,8/29/2013 17:24,8/29/2013 17:39,3
4907,879,8/29/2013 18:31,8/29/2013 18:46,3
4940,879,8/29/2013 19:03,8/29/2013 19:17,3
4375,880,8/29/2013 12:26,8/29/2013 12:41,3
4573,882,8/29/2013 14:09,8/29/2013 14:24,3
4654,882,8/29/2013 15:28,8/29/2013 15:43,3
4275,883,8/29/2013 11:43,8/29/2013 11:57,3
4395,885,8/29/2013 12:35,8/29/2013 12:49,3
4935,885,8/29/2013 18:57,8/29/2013 19:12,3
5090,892,8/29/2013 22:11,8/29/2013 22:26,3
4737,897,8/29/2013 16:43,8/29/2013 16:58,3
4319,899,8/29/2013 12:10,8/29/2013 12:25,3
4991,902,8/29/2013 19:48,8/29/2013 20:03,3
4734,905,8/29/2013 16:41,8/29/2013 16:56,3
4781,908,8/29/2013 17:12,8/29/2013 17:27,3
4214,909,8/29/2013 11:15,8/29/2013 11:30,3
5027,912,8/29/2013 20:28,8/29/2013 20:43,3
4494,913,8/29/2013 13:19,8/29/2013 13:34,3
4742,914,8/29/2013 16:47,8/29/2013 17:02,3
4690,918,8/29/2013 16:01,8/29/2013 16:16,3
